iter	Passed	Remaining
0	57	57777
1	58	29029
2	58	19424
3	58	14618
4	58	11733
5	59	9811
6	59	8439
7	59	7406
8	59	6602
9	60	5960
10	60	5439
11	60	5007
12	61	4636
13	61	4319
14	61	4044
15	61	3802
16	62	3591
17	62	3401
18	62	3231
19	62	3078
20	63	2942
21	63	2817
22	63	2701
23	63	2595
24	64	2498
25	64	2409
26	64	2325
27	64	2248
28	64	2175
29	65	2108
30	65	2045
31	65	1986
32	65	1931
33	66	1878
34	66	1831
35	66	1785
36	66	1742
37	67	1700
38	67	1661
39	67	1623
40	67	1588
41	68	1554
42	68	1523
43	68	1493
44	68	1463
45	69	1435
46	69	1408
47	69	1382
48	69	1358
49	70	1335
50	70	1311
51	70	1288
52	70	1267
53	71	1246
54	71	1226
55	71	1207
56	71	1188
57	72	1169
58	72	1152
59	72	1135
60	72	1118
61	72	1103
62	73	1087
63	73	1072
64	73	1058
65	73	1044
66	74	1031
67	74	1017
68	74	1004
69	74	992
70	74	980
71	75	968
72	75	956
73	75	945
74	75	934
75	75	923
76	76	914
77	76	905
78	76	895
79	77	885
80	77	876
81	77	868
82	77	857
83	77	849
84	78	840
85	78	832
86	78	824
87	78	816
88	78	808
89	79	800
90	79	793
91	79	785
92	79	778
93	80	771
94	80	764
95	80	758
96	80	751
97	80	745
98	81	738
99	81	732
100	81	726
101	81	720
102	82	714
103	82	708
104	82	702
105	82	697
106	82	691
107	83	686
108	83	681
109	83	676
110	83	671
111	84	666
112	84	661
113	84	656
114	84	651
115	84	647
116	85	642
117	85	637
118	85	633
119	85	628
120	85	624
121	86	619
122	86	615
123	86	611
124	86	607
125	86	603
126	87	598
127	87	594
128	87	591
129	87	587
130	87	583
131	88	579
132	88	576
133	89	577
134	89	574
135	89	570
136	90	567
137	90	563
138	90	560
139	90	557
140	90	554
141	91	550
142	91	547
143	91	543
144	91	541
145	91	537
146	92	534
147	92	531
148	92	528
149	92	525
150	93	522
151	93	520
152	93	517
153	93	514
154	93	511
155	94	509
156	94	506
157	94	503
158	94	501
159	94	498
160	95	495
161	95	492
162	95	490
